REKENING LAMA,REKENING BARU,NAMA REKENING BELANJA DAERAH,KODE KOMPONEN,TA,B1,B2,JENIS,FORMULIR
5.1.02.01.01.0026,5.1.02.01.001.00026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,1.1.12.01.03.0003,2026,#REF!,,SSH,5.1.02.01.001.00026 - Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak
5.1.02.01.01.0027,5.1.02.01.001.00027,Belanja Alat/Bahan untuk Kegiatan Kantor-Benda Pos,1.1.12.01.03.0004,2026,#REF!,,SSH,5.1.02.01.001.00027 - Belanja Alat/Bahan untuk Kegiatan Kantor-Benda Pos
5.1.02.01.01.0028,5.1.02.01.001.00028,Belanja Alat/Bahan untuk Kegiatan Kantor-Persediaan Dokumen/Administrasi Tender,1.1.12.01.03.0005,2026,,,SSH,5.1.02.01.001.00028 - Belanja Alat/Bahan untuk Kegiatan Kantor-Persediaan Dokumen/Administrasi Tender
5.1.02.01.01.0029,5.1.02.01.001.00029,Belanja Alat/Bahan untuk Kegiatan Kantor-Bahan Komputer,1.1.12.01.03.0006,2026,#REF!,,SSH,5.1.02.01.001.00029 - Belanja Alat/Bahan untuk Kegiatan Kantor-Bahan Komputer
5.1.02.01.01.0030,5.1.02.01.001.00030,Belanja Alat/Bahan untuk Kegiatan Kantor-Perabot Kantor,1.1.12.01.03.0007,2026,#REF!,,SSH,5.1.02.01.001.00030 - Belanja Alat/Bahan untuk Kegiatan Kantor-Perabot Kantor
5.1.02.01.01.0031,5.1.02.01.001.00031,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Listrik,1.1.12.01.03.0008,2026,#REF!,,SSH,5.1.02.01.001.00031 - Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Listrik
5.1.02.01.01.0032,5.1.02.01.001.00032,Belanja Alat/Bahan untuk Kegiatan Kantor-Perlengkapan Dinas,1.1.12.01.03.0009,2026,#REF!,,SSH,5.1.02.01.001.00032 - Belanja Alat/Bahan untuk Kegiatan Kantor-Perlengkapan Dinas
5.1.02.01.01.0033,5.1.02.01.001.00033,Belanja Alat/Bahan untuk Kegiatan Kantor- Kaporlap dan Perlengkapan Satwa,1.1.12.01.03.0010,2026,#REF!,,SSH,5.1.02.01.001.00033 - Belanja Alat/Bahan untuk Kegiatan Kantor- Kaporlap dan Perlengkapan Satwa
5.1.02.01.01.0034,5.1.02.01.001.00034,Belanja Alat/Bahan untuk Kegiatan Kantor- Perlengkapan Pendukung Olahraga,1.1.12.01.03.0011,2026,#REF!,,SSH,5.1.02.01.001.00034 - Belanja Alat/Bahan untuk Kegiatan Kantor- Perlengkapan Pendukung Olahraga
5.1.02.01.01.0035,5.1.02.01.001.00035,Belanja Alat/Bahan untuk Kegiatan Kantor- Suvenir/Cendera Mata,1.1.12.01.03.0012,2026,#REF!,#REF!,SSH,5.1.02.01.001.00035 - Belanja Alat/Bahan untuk Kegiatan Kantor- Suvenir/Cendera Mata
5.1.02.01.01.0036,5.1.02.01.001.00036,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat/Bahan untuk Kegiatan Kantor Lainnya,1.1.12.01.03.0013,2026,#REF!,,SSH,5.1.02.01.001.00036 - Belanja Alat/Bahan untuk Kegiatan Kantor-Alat/Bahan untuk Kegiatan Kantor Lainnya
5.1.02.01.01.0037,5.1.02.01.001.00037,Belanja Obat-Obatan-Obat,1.1.12.01.04.0001,2026,#REF!,,SSH,5.1.02.01.001.00037 - Belanja Obat-Obatan-Obat
5.1.02.01.01.0038,5.1.02.01.001.00038,Belanja Obat-Obatan-Obat-Obatan Lainnya,1.1.12.01.04.0002,2026,#REF!,,SSH,5.1.02.01.001.00038 - Belanja Obat-Obatan-Obat-Obatan Lainnya
5.1.02.01.01.0039,5.1.02.01.001.00039,Belanja Barang untuk Dijual/Diserahkan kepada Masyarakat,1.1.12.01.05.0001,2026,#REF!,#REF!,SSH,5.1.02.01.001.00039 - Belanja Barang untuk Dijual/Diserahkan kepada Masyarakat
5.1.02.01.01.0040,5.1.02.01.001.00040,Belanja Barang untuk Dijual/Diserahkan kepada Pihak Ketiga/Pihak Lain,1.1.12.01.05.0002,2026,#REF!,#REF!,SSH,5.1.02.01.001.00040 - Belanja Barang untuk Dijual/Diserahkan kepada Pihak Ketiga/Pihak Lain
5.1.02.01.01.0041,5.1.02.01.001.00041,Belanja Persediaan untuk Tujuan Strategis/Berjaga-jaga-Persediaan untuk Tujuan Strategis/Berjaga-jaga,1.1.12.01.06.0001,2026,#REF!,#REF!,SSH,5.1.02.01.001.00041 - Belanja Persediaan untuk Tujuan Strategis/Berjaga-jaga-Persediaan untuk Tujuan Strategis/Berjaga-jaga
5.1.02.01.01.0042,5.1.02.01.001.00042,Belanja Persediaan untuk Tujuan Strategis/Berjaga-jaga-Persediaan untuk Tujuan Strategis/Berjaga-jaga Lainnya,1.1.12.01.06.0002,2026,#REF!,#REF!,SSH,5.1.02.01.001.00042 - Belanja Persediaan untuk Tujuan Strategis/Berjaga-jaga-Persediaan untuk Tujuan Strategis/Berjaga-jaga Lainnya
5.1.02.01.01.0043,5.1.02.01.001.00043,Belanja Natura dan Pakan-Natura,1.1.12.01.07.0001,2026,#REF!,,SSH,5.1.02.01.001.00043 - Belanja Natura dan Pakan-Natura
5.1.02.01.01.0044,5.1.02.01.001.00044,Belanja Natura dan Pakan-Pakan,1.1.12.01.07.0002,2026,#REF!,,SSH,5.1.02.01.001.00044 - Belanja Natura dan Pakan-Pakan
5.1.02.01.01.0045,5.1.02.01.001.00045,Belanja Natura dan Pakan-Natura dan Pakan Lainnya,1.1.12.01.07.0003,2026,#REF!,,SSH,5.1.02.01.001.00045 - Belanja Natura dan Pakan-Natura dan Pakan Lainnya
5.1.02.01.01.0046,5.1.02.01.001.00046,Belanja Persediaan Penelitian-Persediaan Penelitian Biologi,1.1.12.01.08.0001,2026,,,SSH,5.1.02.01.001.00046 - Belanja Persediaan Penelitian-Persediaan Penelitian Biologi
5.1.02.01.01.0047,5.1.02.01.001.00047,Belanja Persediaan Penelitian-Persediaan Penelitian Biologi Lainnya,1.1.12.01.08.0002,2026,,,SSH,5.1.02.01.001.00047 - Belanja Persediaan Penelitian-Persediaan Penelitian Biologi Lainnya
5.1.02.01.01.0048,5.1.02.01.001.00048,Belanja Persediaan Penelitian-Persediaan Penelitian Teknologi,1.1.12.01.08.0003,2026,,,SSH,5.1.02.01.001.00048 - Belanja Persediaan Penelitian-Persediaan Penelitian Teknologi
5.1.02.01.01.0049,5.1.02.01.001.00049,Belanja Persediaan Penelitian-Persediaan Penelitian Lainnya,1.1.12.01.08.0004,2026,,,SSH,5.1.02.01.001.00049 - Belanja Persediaan Penelitian-Persediaan Penelitian Lainnya
5.1.02.01.01.0050,5.1.02.01.001.00050,Belanja Persediaan Dalam Proses-Persediaan Dalam Proses,1.1.12.01.09.0001,2026,,,SSH,5.1.02.01.001.00050 - Belanja Persediaan Dalam Proses-Persediaan Dalam Proses
5.1.02.01.01.0051,5.1.02.01.001.00051,Belanja Persediaan Dalam Proses-Persediaan Dalam Proses Lainnya,1.1.12.01.09.0002,2026,,,SSH,5.1.02.01.001.00051 - Belanja Persediaan Dalam Proses-Persediaan Dalam Proses Lainnya
5.1.02.01.01.0052,5.1.02.01.001.00052,Belanja Makanan dan Minuman Rapat,8.1.02.01.01.0052,2026,#REF!,,SBU,5.1.02.01.001.00052 - Belanja Makanan dan Minuman Rapat
5.1.02.01.01.0053,5.1.02.01.001.00053,Belanja Makanan dan Minuman Jamuan Tamu,8.1.02.01.01.0053,2026,#REF!,,SBU,5.1.02.01.001.00053 - Belanja Makanan dan Minuman Jamuan Tamu
5.1.02.01.01.0054,5.1.02.01.001.00054,Belanja Penambah Daya Tahan Tubuh,8.1.02.01.01.0054,2026,#REF!,,SBU,5.1.02.01.001.00054 - Belanja Penambah Daya Tahan Tubuh
5.1.02.01.01.0055,5.1.02.01.001.00055,Belanja Makanan dan Minuman pada Fasilitas Pelayanan Urusan Pendidikan,8.1.02.01.01.0055,2026,#REF!,,SBU,5.1.02.01.001.00055 - Belanja Makanan dan Minuman pada Fasilitas Pelayanan Urusan Pendidikan
5.1.02.01.01.0056,5.1.02.01.001.00056,Belanja Makanan dan Minuman pada Fasilitas Pelayanan Urusan Kesehatan,8.1.02.01.01.0056,2026,#REF!,,SBU,5.1.02.01.001.00056 - Belanja Makanan dan Minuman pada Fasilitas Pelayanan Urusan Kesehatan
5.1.02.01.01.0057,5.1.02.01.001.00057,Belanja Makanan dan Minuman pada Fasilitas Pelayanan Urusan Sosial,8.1.02.01.01.0057,2026,#REF!,,SBU,5.1.02.01.001.00057 - Belanja Makanan dan Minuman pada Fasilitas Pelayanan Urusan Sosial
5.1.02.01.01.0058,5.1.02.01.001.00058,Belanja Makanan dan Minuman Aktivitas Lapangan,8.1.02.01.01.0058,2026,#REF!,,SBU,5.1.02.01.001.00058 - Belanja Makanan dan Minuman Aktivitas Lapangan
5.1.02.01.01.0059,5.1.02.01.001.00059,Belanja Pakaian Dinas KDH dan WKDH,8.1.02.01.01.0059,2026,#REF!,,SBU,5.1.02.01.001.00059 - Belanja Pakaian Dinas KDH dan WKDH
5.1.02.01.01.0060,5.1.02.01.001.00060,Belanja Pakaian Dinas dan Atribut Pimpinan dan Anggota DPRD,8.1.02.01.01.0060,2026,#REF!,,SBU,5.1.02.01.001.00060 - Belanja Pakaian Dinas dan Atribut Pimpinan dan Anggota DPRD
5.1.02.01.01.0061,5.1.02.01.001.00061,Belanja Pakaian Sipil Harian (PSH),8.1.02.01.01.0061,2026,#REF!,,SBU,5.1.02.01.001.00061 - Belanja Pakaian Sipil Harian (PSH)
5.1.02.01.01.0062,5.1.02.01.001.00062,Belanja Pakaian Sipil Lengkap (PSL),8.1.02.01.01.0062,2026,#REF!,,SBU,5.1.02.01.001.00062 - Belanja Pakaian Sipil Lengkap (PSL)
5.1.02.01.01.0063,5.1.02.01.001.00063,Belanja Pakaian Dinas Harian (PDH),8.1.02.01.01.0063,2026,#REF!,,SBU,5.1.02.01.001.00063 - Belanja Pakaian Dinas Harian (PDH)
5.1.02.01.01.0064,5.1.02.01.001.00064,Belanja Pakaian Dinas Lapangan (PDL),8.1.02.01.01.0064,2026,#REF!,,SBU,5.1.02.01.001.00064 - Belanja Pakaian Dinas Lapangan (PDL)
5.1.02.01.01.0065,5.1.02.01.001.00065,Belanja Pakaian Sipil Resmi (PSR),8.1.02.01.01.0065,2026,#REF!,,SBU,5.1.02.01.001.00065 - Belanja Pakaian Sipil Resmi (PSR)
5.1.02.01.01.0066,5.1.02.01.001.00066,Belanja Pakaian Dinas Upacara (PDU),8.1.02.01.01.0066,2026,#REF!,,SBU,5.1.02.01.001.00066 - Belanja Pakaian Dinas Upacara (PDU)
5.1.02.01.01.0067,5.1.02.01.001.00067,Belanja Pakaian Penyelamatan,8.1.02.01.01.0067,2026,#REF!,,SBU,5.1.02.01.001.00067 - Belanja Pakaian Penyelamatan
5.1.02.01.01.0068,5.1.02.01.001.00068,Belanja Pakaian Siaga,8.1.02.01.01.0068,2026,#REF!,,SBU,5.1.02.01.001.00068 - Belanja Pakaian Siaga
5.1.02.01.01.0069,5.1.02.01.001.00069,Belanja Pakaian Teknik,8.1.02.01.01.0069,2026,#REF!,,SBU,5.1.02.01.001.00069 - Belanja Pakaian Teknik
5.1.02.01.01.0070,5.1.02.01.001.00070,Belanja Pakaian Pelatihan Kerja,8.1.02.01.01.0070,2026,#REF!,,SBU,5.1.02.01.001.00070 - Belanja Pakaian Pelatihan Kerja
5.1.02.01.01.0071,5.1.02.01.001.00071,Belanja Pakaian Kerja Laboratorium,8.1.02.01.01.0071,2026,#REF!,,SBU,5.1.02.01.001.00071 - Belanja Pakaian Kerja Laboratorium
5.1.02.01.01.0072,5.1.02.01.001.00072,Belanja Pakaian Kerja Bengkel,8.1.02.01.01.0072,2026,#REF!,,SBU,5.1.02.01.001.00072 - Belanja Pakaian Kerja Bengkel
5.1.02.01.01.0073,5.1.02.01.001.00073,Belanja Pakaian KORPRI,8.1.02.01.01.0073,2026,#REF!,,SBU,5.1.02.01.001.00073 - Belanja Pakaian KORPRI
5.1.02.01.01.0074,5.1.02.01.001.00074,Belanja Pakaian Adat Daerah,8.1.02.01.01.0074,2026,#REF!,,SBU,5.1.02.01.001.00074 - Belanja Pakaian Adat Daerah
5.1.02.01.01.0075,5.1.02.01.001.00075,Belanja Pakaian Batik Tradisional,8.1.02.01.01.0075,2026,#REF!,,SBU,5.1.02.01.001.00075 - Belanja Pakaian Batik Tradisional
5.1.02.01.01.0076,5.1.02.01.001.00076,Belanja Pakaian Olahraga,8.1.02.01.01.0076,2026,#REF!,,SBU,5.1.02.01.001.00076 - Belanja Pakaian Olahraga
5.1.02.01.01.0077,5.1.02.01.001.00077,Belanja Pakaian Paskibraka,8.1.02.01.01.0077,2026,#REF!,,SBU,5.1.02.01.001.00077 - Belanja Pakaian Paskibraka
5.1.02.01.01.0078,5.1.02.01.001.00078,Belanja Pakaian Jas/Safari,8.1.02.01.01.0078,2026,#REF!,,SBU,5.1.02.01.001.00078 - Belanja Pakaian Jas/Safari
5.1.02.01.01.0079,5.1.02.01.001.00079,Belanja Barang Sampel Pangan,no code,2026,#REF!,#REF!,SBU,5.1.02.01.001.00079 - Belanja Barang Sampel Pangan
5.1.02.01.02,5.1.02.01.002,Belanja Barang Tak Habis Pakai,,2026,,,,5.1.02.01.002 - Belanja Barang Tak Habis Pakai
5.1.02.01.02.0001,5.1.02.01.002.00001,Belanja Komponen-Komponen Jembatan Baja,1.1.12.02.01.0001,2026,,,SSH,5.1.02.01.002.00001 - Belanja Komponen-Komponen Jembatan Baja
5.1.02.01.02.0002,5.1.02.01.002.00002,Belanja Komponen-Komponen Jembatan Pratekan,1.1.12.02.01.0002,2026,,,SSH,5.1.02.01.002.00002 - Belanja Komponen-Komponen Jembatan Pratekan
5.1.02.01.02.0003,5.1.02.01.002.00003,Belanja Komponen-Komponen Peralatan,1.1.12.02.01.0003,2026,,,SSH,5.1.02.01.002.00003 - Belanja Komponen-Komponen Peralatan
5.1.02.01.02.0004,5.1.02.01.002.00004,Belanja Komponen-Komponen Rambu-Rambu,1.1.12.02.01.0004,2026,#REF!,,SSH,5.1.02.01.002.00004 - Belanja Komponen-Komponen Rambu-Rambu
5.1.02.01.02.0005,5.1.02.01.002.00005,Belanja Komponen-Attachment,1.1.12.02.01.0005,2026,,,SSH,5.1.02.01.002.00005 - Belanja Komponen-Attachment
5.1.02.01.02.0006,5.1.02.01.002.00006,Belanja Komponen-Komponen Lainnya,1.1.12.02.01.0006,2026,,,SSH,5.1.02.01.002.00006 - Belanja Komponen-Komponen Lainnya
5.1.02.01.02.0007,5.1.02.01.002.00007,Belanja Pipa-Pipa Air Besi Tuang (DCI),1.1.12.02.02.0001,2026,,,SSH,5.1.02.01.002.00007 - Belanja Pipa-Pipa Air Besi Tuang (DCI)
5.1.02.01.02.0008,5.1.02.01.002.00008,Belanja Pipa-Pipa Asbes Semen (ACP),1.1.12.02.02.0002,2026,#REF!,,SSH,5.1.02.01.002.00008 - Belanja Pipa-Pipa Asbes Semen (ACP)
5.1.02.01.02.0009,5.1.02.01.002.00009,Belanja Pipa-Pipa Baja,1.1.12.02.02.0003,2026,#REF!,,SSH,5.1.02.01.002.00009 - Belanja Pipa-Pipa Baja
5.1.02.01.02.0010,5.1.02.01.002.00010,Belanja Pipa-Pipa Beton Pratekan,1.1.12.02.02.0004,2026,#REF!,,SSH,5.1.02.01.002.00010 - Belanja Pipa-Pipa Beton Pratekan
5.1.02.01.02.0011,5.1.02.01.002.00011,Belanja Pipa-Pipa Fiber Glass,1.1.12.02.02.0005,2026,#REF!,,SSH,5.1.02.01.002.00011 - Belanja Pipa-Pipa Fiber Glass
5.1.02.01.02.0012,5.1.02.01.002.00012,Belanja Pipa-Pipa Plastik PVC (UPVC),1.1.12.02.02.0006,2026,#REF!,,SSH,5.1.02.01.002.00012 - Belanja Pipa-Pipa Plastik PVC (UPVC)
5.1.02.01.02.0013,5.1.02.01.002.00013,Belanja Pipa-Pipa Lainnya,1.1.12.02.02.0007,2026,#REF!,,SSH,5.1.02.01.002.00013 - Belanja Pipa-Pipa Lainnya
5.1.02.01.03,5.1.02.01.003,Belanja Barang Bekas Dipakai,,2026,,,,5.1.02.01.003 - Belanja Barang Bekas Dipakai
5.1.02.01.03.0001,5.1.02.01.003.00001,Belanja Komponen Bekas dan Pipa Bekas-Komponen Bekas,1.1.12.03.01.0001,2026,,,SSH,5.1.02.01.003.00001 - Belanja Komponen Bekas dan Pipa Bekas-Komponen Bekas
5.1.02.01.03.0002,5.1.02.01.003.00002,Belanja Komponen Bekas dan Pipa Bekas-Pipa Bekas,1.1.12.03.01.0002,2026,,,SSH,5.1.02.01.003.00002 - Belanja Komponen Bekas dan Pipa Bekas-Pipa Bekas
5.1.02.01.03.0003,5.1.02.01.003.00003,Belanja Komponen Bekas dan Pipa Bekas-Komponen Bekas dan Pipa Bekas Lainnya,1.1.12.03.01.0003,2026,,,SSH,5.1.02.01.003.00003 - Belanja Komponen Bekas dan Pipa Bekas-Komponen Bekas dan Pipa Bekas Lainnya
5.1.02.01.04,5.1.02.01.004,Belanja Aset Tetap yang Tidak Memenuhi Kriteria Kapitalisasi,,2026,,,,5.1.02.01.004 - Belanja Aset Tetap yang Tidak Memenuhi Kriteria Kapitalisasi
5.1.02.01.04.0001,5.1.02.01.004.00001,Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Darat-Tractor,8.1.02.01.04.0001,2026,#REF!,,SBU,5.1.02.01.004.00001 - Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Darat-Tractor
5.1.02.01.04.0002,5.1.02.01.004.00002,Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Darat-Grader,8.1.02.01.04.0002,2026,#REF!,,SBU,5.1.02.01.004.00002 - Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Darat-Grader
5.1.02.01.04.0003,5.1.02.01.004.00003,Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Darat-Excavator,8.1.02.01.04.0003,2026,#REF!,,SBU,5.1.02.01.004.00003 - Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Darat-Excavator
5.1.02.01.04.0004,5.1.02.01.004.00004,Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Darat-Pile Driver,8.1.02.01.04.0004,2026,#REF!,,SBU,5.1.02.01.004.00004 - Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Darat-Pile Driver
5.1.02.01.04.0005,5.1.02.01.004.00005,Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Darat-Hauler,8.1.02.01.04.0005,2026,#REF!,,SBU,5.1.02.01.004.00005 - Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Darat-Hauler
5.1.02.01.04.0006,5.1.02.01.004.00006,Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Darat-Asphalt Equipment,8.1.02.01.04.0006,2026,#REF!,,SBU,5.1.02.01.004.00006 - Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Darat-Asphalt Equipment
5.1.02.01.04.0007,5.1.02.01.004.00007,Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Darat-Compacting Equipment,8.1.02.01.04.0007,2026,#REF!,,SBU,5.1.02.01.004.00007 - Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Darat-Compacting Equipment
5.1.02.01.04.0008,5.1.02.01.004.00008,Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Darat-Aggregate and Concrete Equipment,8.1.02.01.04.0008,2026,#REF!,,SBU,5.1.02.01.004.00008 - Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Darat-Aggregate and Concrete Equipment
5.1.02.01.04.0009,5.1.02.01.004.00009,Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Darat-Loader,8.1.02.01.04.0009,2026,#REF!,,SBU,5.1.02.01.004.00009 - Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Darat-Loader
5.1.02.01.04.0010,5.1.02.01.004.00010,Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Darat-Alat Pengangkat,8.1.02.01.04.0010,2026,#REF!,,SBU,5.1.02.01.004.00010 - Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Darat-Alat Pengangkat
5.1.02.01.04.0011,5.1.02.01.004.00011,Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Darat-Mesin Proses,8.1.02.01.04.0011,2026,#REF!,,SBU,5.1.02.01.004.00011 - Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Darat-Mesin Proses
5.1.02.01.04.0012,5.1.02.01.004.00012,Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Darat-Alat Besar Darat Lainnya,8.1.02.01.04.0012,2026,#REF!,,SBU,5.1.02.01.004.00012 - Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Darat-Alat Besar Darat Lainnya
5.1.02.01.04.0013,5.1.02.01.004.00013,Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Apung-Dredger,8.1.02.01.04.0013,2026,#REF!,,SBU,5.1.02.01.004.00013 - Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Apung-Dredger
5.1.02.01.04.0014,5.1.02.01.004.00014,Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Apung-Floating Excavator,8.1.02.01.04.0014,2026,#REF!,,SBU,5.1.02.01.004.00014 - Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Apung-Floating Excavator
5.1.02.01.04.0015,5.1.02.01.004.00015,Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Apung-Amphibi Dredger,8.1.02.01.04.0015,2026,#REF!,,SBU,5.1.02.01.004.00015 - Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Apung-Amphibi Dredger
5.1.02.01.04.0016,5.1.02.01.004.00016,Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Apung-Kapal Tarik,8.1.02.01.04.0016,2026,#REF!,,SBU,5.1.02.01.004.00016 - Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Apung-Kapal Tarik
5.1.02.01.04.0017,5.1.02.01.004.00017,Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Apung-Mesin Proses Apung,8.1.02.01.04.0017,2026,#REF!,,SBU,5.1.02.01.004.00017 - Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Apung-Mesin Proses Apung
5.1.02.01.04.0018,5.1.02.01.004.00018,Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Apung-Alat Besar Apung Lainnya,8.1.02.01.04.0018,2026,#REF!,,SBU,5.1.02.01.004.00018 - Belanja Peralatan dan Mesin-Alat Besar-Alat Besar Apung-Alat Besar Apung Lainnya
5.1.02.01.04.0019,5.1.02.01.004.00019,Belanja Peralatan dan Mesin-Alat Besar-Alat Bantu-Alat Penarik,8.1.02.01.04.0019,2026,#REF!,,SBU,5.1.02.01.004.00019 - Belanja Peralatan dan Mesin-Alat Besar-Alat Bantu-Alat Penarik
5.1.02.01.04.0020,5.1.02.01.004.00020,Belanja Peralatan dan Mesin-Alat Besar-Alat Bantu-Feeder,8.1.02.01.04.0020,2026,#REF!,,SBU,5.1.02.01.004.00020 - Belanja Peralatan dan Mesin-Alat Besar-Alat Bantu-Feeder
5.1.02.01.04.0021,5.1.02.01.004.00021,Belanja Peralatan dan Mesin-Alat Besar-Alat Bantu-Compressor,8.1.02.01.04.0021,2026,#REF!,,SBU,5.1.02.01.004.00021 - Belanja Peralatan dan Mesin-Alat Besar-Alat Bantu-Compressor
5.1.02.01.04.0022,5.1.02.01.004.00022,Belanja Peralatan dan Mesin-Alat Besar-Alat Bantu-Electric Generating Set,8.1.02.01.04.0022,2026,#REF!,,SBU,5.1.02.01.004.00022 - Belanja Peralatan dan Mesin-Alat Besar-Alat Bantu-Electric Generating Set
5.1.02.01.04.0023,5.1.02.01.004.00023,Belanja Peralatan dan Mesin-Alat Besar-Alat Bantu-Pompa,8.1.02.01.04.0023,2026,#REF!,,SBU,5.1.02.01.004.00023 - Belanja Peralatan dan Mesin-Alat Besar-Alat Bantu-Pompa
5.1.02.01.04.0024,5.1.02.01.004.00024,Belanja Peralatan dan Mesin-Alat Besar-Alat Bantu-Mesin Bor,8.1.02.01.04.0024,2026,#REF!,,SBU,5.1.02.01.004.00024 - Belanja Peralatan dan Mesin-Alat Besar-Alat Bantu-Mesin Bor
5.1.02.01.04.0025,5.1.02.01.004.00025,Belanja Peralatan dan Mesin-Alat Besar-Alat Bantu-Unit Pemeliharaan Lapangan,8.1.02.01.04.0025,2026,#REF!,,SBU,5.1.02.01.004.00025 - Belanja Peralatan dan Mesin-Alat Besar-Alat Bantu-Unit Pemeliharaan Lapangan
5.1.02.01.04.0026,5.1.02.01.004.00026,Belanja Peralatan dan Mesin-Alat Besar-Alat Bantu-Alat Pengolahan Air Kotor,8.1.02.01.04.0026,2026,#REF!,,SBU,5.1.02.01.004.00026 - Belanja Peralatan dan Mesin-Alat Besar-Alat Bantu-Alat Pengolahan Air Kotor
5.1.02.01.04.0027,5.1.02.01.004.00027,Belanja Peralatan dan Mesin-Alat Besar-Alat Bantu-Pembangkit Uap Air Panas/Steam Generator,8.1.02.01.04.0027,2026,#REF!,,SBU,5.1.02.01.004.00027 - Belanja Peralatan dan Mesin-Alat Besar-Alat Bantu-Pembangkit Uap Air Panas/Steam Generator
5.1.02.01.04.0028,5.1.02.01.004.00028,Belanja Peralatan dan Mesin-Alat Besar-Alat Bantu-Air Port Maintenance Equipment/Alat Bantu Penerbangan,8.1.02.01.04.0028,2026,#REF!,,SBU,5.1.02.01.004.00028 - Belanja Peralatan dan Mesin-Alat Besar-Alat Bantu-Air Port Maintenance Equipment/Alat Bantu Penerbangan
5.1.02.01.04.0029,5.1.02.01.004.00029,Belanja Peralatan dan Mesin-Alat Besar-Alat Bantu-Mesin Tatoo,8.1.02.01.04.0029,2026,#REF!,,SBU,5.1.02.01.004.00029 - Belanja Peralatan dan Mesin-Alat Besar-Alat Bantu-Mesin Tatoo
5.1.02.01.04.0030,5.1.02.01.004.00030,Belanja Peralatan dan Mesin-Alat Besar-Alat Bantu-Perlengkapan Kebakaran Hutan,8.1.02.01.04.0030,2026,#REF!,,SBU,5.1.02.01.004.00030 - Belanja Peralatan dan Mesin-Alat Besar-Alat Bantu-Perlengkapan Kebakaran Hutan
5.1.02.01.04.0031,5.1.02.01.004.00031,Belanja Peralatan dan Mesin-Alat Besar-Alat Bantu-Peralatan Selam,8.1.02.01.04.0031,2026,#REF!,,SBU,5.1.02.01.004.00031 - Belanja Peralatan dan Mesin-Alat Besar-Alat Bantu-Peralatan Selam
5.1.02.01.04.0032,5.1.02.01.004.00032,Belanja Peralatan dan Mesin-Alat Besar-Alat Bantu-Peralatan SAR Mountenering,8.1.02.01.04.0032,2026,#REF!,,SBU,5.1.02.01.004.00032 - Belanja Peralatan dan Mesin-Alat Besar-Alat Bantu-Peralatan SAR Mountenering
5.1.02.01.04.0033,5.1.02.01.004.00033,Belanja Peralatan dan Mesin-Alat Besar-Alat Bantu-Peralatan Intelijen,8.1.02.01.04.0033,2026,#REF!,,SBU,5.1.02.01.004.00033 - Belanja Peralatan dan Mesin-Alat Besar-Alat Bantu-Peralatan Intelijen
5.1.02.01.04.0034,5.1.02.01.004.00034,Belanja Peralatan dan Mesin-Alat Besar-Alat Bantu-Alat Bantu Lainnya,8.1.02.01.04.0034,2026,#REF!,,SBU,5.1.02.01.004.00034 - Belanja Peralatan dan Mesin-Alat Besar-Alat Bantu-Alat Bantu Lainnya
