REKENING LAMA,REKENING BARU,NAMA REKENING BELANJA DAERAH,KODE KOMPONEN,TA,B1,B2,JENIS,FORMULIR
5.2.02.15.02.0002,5.2.02.15.002.00002,Belanja Modal Masker,1.3.02.15.02.0002,2026,,,SSH,5.2.02.15.002.00002 - Belanja Modal Masker
5.2.02.15.02.0003,5.2.02.15.002.00003,Belanja Modal Topi Kerja,1.3.02.15.02.0003,2026,,,SSH,5.2.02.15.002.00003 - Belanja Modal Topi Kerja
5.2.02.15.02.0004,5.2.02.15.002.00004,Belanja Modal Sabuk Pengaman,1.3.02.15.02.0004,2026,,,SSH,5.2.02.15.002.00004 - Belanja Modal Sabuk Pengaman
5.2.02.15.02.0005,5.2.02.15.002.00005,Belanja Modal Sepatu Lapangan,1.3.02.15.02.0005,2026,,,SSH,5.2.02.15.002.00005 - Belanja Modal Sepatu Lapangan
5.2.02.15.02.0006,5.2.02.15.002.00006,Belanja Modal Alat Pelindung Lainnya,1.3.02.15.02.0006,2026,#REF!,,SSH,5.2.02.15.002.00006 - Belanja Modal Alat Pelindung Lainnya
5.2.02.15.03,5.2.02.15.003,Belanja Modal Alat SAR,,2026,,,,5.2.02.15.003 - Belanja Modal Alat SAR
5.2.02.15.03.0001,5.2.02.15.003.00001,Belanja Modal Alat Penolong,1.3.02.15.03.0001,2026,#REF!,,SSH,5.2.02.15.003.00001 - Belanja Modal Alat Penolong
5.2.02.15.03.0002,5.2.02.15.003.00002,Belanja Modal Alat Pendukung Pencarian,1.3.02.15.03.0002,2026,#REF!,,SSH,5.2.02.15.003.00002 - Belanja Modal Alat Pendukung Pencarian
5.2.02.15.03.0003,5.2.02.15.003.00003,Belanja Modal Alat Kerja Bawah Air,1.3.02.15.03.0003,2026,,,SSH,5.2.02.15.003.00003 - Belanja Modal Alat Kerja Bawah Air
5.2.02.15.03.0004,5.2.02.15.003.00004,Belanja Modal Alat SAR Lainnya,1.3.02.15.03.0004,2026,,,SSH,5.2.02.15.003.00004 - Belanja Modal Alat SAR Lainnya
5.2.02.15.04,5.2.02.15.004,Belanja Modal Alat Kerja Penerbangan,,2026,,,,5.2.02.15.004 - Belanja Modal Alat Kerja Penerbangan
5.2.02.15.04.0001,5.2.02.15.004.00001,Belanja Modal Peralatan Fasilitas Komunikasi Penerbangan,1.3.02.15.04.0001,2026,,,SSH,5.2.02.15.004.00001 - Belanja Modal Peralatan Fasilitas Komunikasi Penerbangan
5.2.02.15.04.0002,5.2.02.15.004.00002,Belanja Modal Peralatan Fasilitas Navigasi dan Pengamatan Penerbangan,1.3.02.15.04.0002,2026,,,SSH,5.2.02.15.004.00002 - Belanja Modal Peralatan Fasilitas Navigasi dan Pengamatan Penerbangan
5.2.02.15.04.0003,5.2.02.15.004.00003,Belanja Modal Peralatan Fasilitas Bantu Pendaratan,1.3.02.15.04.0003,2026,,,SSH,5.2.02.15.004.00003 - Belanja Modal Peralatan Fasilitas Bantu Pendaratan
5.2.02.15.04.0004,5.2.02.15.004.00004,Belanja Modal Peralatan Fasilitas Bantu Pelayanan dan Pengamanan Bandar Udara,1.3.02.15.04.0004,2026,#REF!,,SSH,5.2.02.15.004.00004 - Belanja Modal Peralatan Fasilitas Bantu Pelayanan dan Pengamanan Bandar Udara
5.2.02.15.04.0005,5.2.02.15.004.00005,Belanja Modal Peralatan Fasilitas Listrik Bandar Udara,1.3.02.15.04.0005,2026,,,SSH,5.2.02.15.004.00005 - Belanja Modal Peralatan Fasilitas Listrik Bandar Udara
5.2.02.15.04.0006,5.2.02.15.004.00006,Belanja Modal Alat Ukur Peralatan Faslektrik,1.3.02.15.04.0006,2026,,,SSH,5.2.02.15.004.00006 - Belanja Modal Alat Ukur Peralatan Faslektrik
5.2.02.15.04.0007,5.2.02.15.004.00007,Belanja Modal Alat Kerja Penerbangan Lainnya,1.3.02.15.04.0007,2026,,,SSH,5.2.02.15.004.00007 - Belanja Modal Alat Kerja Penerbangan Lainnya
0,5.2.02.16,Belanja Modal Alat Peraga,,2026,,,,5.2.02.16 - Belanja Modal Alat Peraga
5.2.02.16.01,5.2.02.16.001,Belanja Modal Alat Peraga Pelatihan dan Percontohan,,2026,,,,5.2.02.16.001 - Belanja Modal Alat Peraga Pelatihan dan Percontohan
5.2.02.16.01.0001,5.2.02.16.001.00001,Belanja Modal Alat Peraga Pelatihan,1.3.02.16.01.0001,2026,#REF!,,SSH,5.2.02.16.001.00001 - Belanja Modal Alat Peraga Pelatihan
